bayna/1a/01/0	(определённый артикль).	اَلْـ...
bayna/1a/01/q1	она врач	هِيَ طَبِيبَةٌ
bayna/1a/01/q2	это, эта (ж.р)	هَٰذِهِ
bayna/1a/01/q3	подруга моя	صَدِيقَتِي
bayna/1a/01/q4	она	هِيَ
bayna/1a/01/q5	студентка	طَالِبَةٌ
bayna/1a/01/r0	подруга	صَدِيقَةٌ
bayna/1a/01/r1	друг	صَدِيقٌ
bayna/1a/01/r2	сестра	أُخْتٌ
bayna/1a/01/r3	брат	أَخٌ
bayna/1a/01/s1	один (1)	وَاحِدٌ (١)
bayna/1a/01/s2	два (2)	إِثْنَانٌ (٢)
bayna/1a/01/s3	три (3)	ثَلَاثٌ (٣)
bayna/1a/01/s4	четыре (4)	أَرْبَعَةٌ (٤)
bayna/1a/01/s5	пять (5)	خَمْسَةٌ (٥)
bayna/1a/01/t	пакистанка [пакистанская]	بَاكِسْتَانِيَّةٌ
bayna/1a/01/t1	турчанка [турецкая]	تُرْكِيَّةٌ
bayna/1a/01/t2	египтянин [египетский]	مِصْرِيٌّ
bayna/1a/01/u	учительница [дающая уроки]	مُدَرِّسَةٌ
bayna/1a/01/u0	студент	طَالِبٌ
bayna/1a/01/u1	врач	طَبِيبٌ
bayna/1a/01/u2	инженерша	مُهَنْدِسَةٌ
bayna/1a/01/v0	с (вместе)	مَعَ
bayna/1a/02/1	отец / отцы	أَبٌ / آبَاءٌ
bayna/1a/02/4	фото (изображение, картина)	صُورَةٌ
bayna/1a/02/5	семья (моя)	أُسْرَتِي
bayna/1a/02/6	так пожелал Аллах	مَا شَاءَ اللهُ
bayna/1a/02/7	кто	مَنْ
bayna/1a/02/8	кто это? (м. р.)	مَنْ هَذَا؟
bayna/1a/02/9	родитель (м.р.)	وَالِدٌ
bayna/1a/02/10	родитель (ж.р.)	وَالِدَةٌ
bayna/1a/02/18	учительница [дающая знания]	مُعَلِّمَةٌ
bayna/1a/02/19	дедушка	جَدٌّ
bayna/1a/02/20	бабушка	جَدَّةٌ
bayna/1a/02/21	это дерево?	هَلْ هَٰذِهِ شَجَرَةٌ؟
bayna/1a/02/22	дерево	شَجَرَةٌ
bayna/1a/02/23	пальто	مِعْطَفٌ
bayna/1a/02/24	идём [айда] с нами!	هَيَّا بِنَا
bayna/1a/02/25	семья	أُسْرَةٌ
bayna/1a/03/1	спальня [комната сна]	غُرْفَةُ النَّوْمِ
bayna/1a/03/2	несколько, некоторое количество	بَعْضَ
bayna/1a/03/3	где ты живешь? (где она живёт?)	أَيْنَ تَسْكُنُ؟
bayna/1a/03/4	чем могу помочь? [какая услуга?]	أَيَّ خِدْمَةٍ؟
bayna/1a/03/5	жилье, жилище	سَكَنٌ
bayna/1a/03/6	район	حَيٌّ
bayna/1a/03/7	аэропорт [место полётов]	مَطَارٌ
bayna/1a/03/8	университет	جَامِعَةٌ
bayna/1a/03/9	квартира	شَقَّةٌ
bayna/1a/03/a	номер	رَقْمٌ
bayna/1a/03/b	какой номер квартиры твоей?	مَا رَقْمُ شَقَّتِكَ؟
bayna/1a/03/c	арендатор	مُسْتَأْجِرٌ
bayna/1a/03/d	арендодатель	مُؤَجِّرٌ
bayna/1a/03/e	хочу	أُرِيدُ
bayna/1a/03/f	хочу посмотреть [желаю осмотра]	أُرِيدُ مُشَاهَدَةَ
bayna/1a/03/g	пожалуйста [предпочитайся]	تَفَضَّلْ
bayna/1a/03/h	гостиная [комната посиделок, заседаний]	غُرْفَةُ الْجُلُوسِ
bayna/1a/03/i	кровать	سَرِيرٌ
bayna/1a/03/j	шторы	سِتَارَةٌ
bayna/1a/03/k	мебель	أَثَاثٌ
bayna/1a/03/m	диван	أَرِيكَةٌ
bayna/1a/03/n	ковёр	سَجَّادَةٌ
bayna/1a/03/o	ванная, баня	حَمَّامٌ
bayna/1a/03/p	котёл, нагреватель, бойлер	سَخَّانٌ
bayna/1a/03/q	зеркало	مِرْآةٌ
bayna/1a/03/r	этаж	دَوْرٌ
bayna/1a/03/s	кухня	مَطْبَخٌ
bayna/1a/03/t	плита, печь	فُرْنٌ
bayna/1a/03/u	холодильник	ثَلَّاجَةٌ
bayna/1a/04/1	повседневная жизнь.	اَلْحَيَاةُ الْيَوْمِيَّةُ
bayna/1a/04/2	проснулся (он)	إِسْتَيْقَظَ
bayna/1a/04/3	на рассвете	عِنْدَ الْفَجْرِ
bayna/1a/04/4	когда	مَتَى
bayna/1a/04/5	ты молишься, она молится	تُصَلِّي
bayna/1a/04/6	(ты) спишь, (она) спит	تَنَامُ
bayna/1a/04/7	(я) сплю	أَنَامُ
bayna/1a/04/8	после	بَعْدَ
bayna/1a/04/9	что (это)	مَاذَا
bayna/1a/04/a	(ты) делаешь, (она) делает	تَفْعَلُ
bayna/1a/04/b	читаю	أَقَرَأُ
bayna/1a/04/c	ты идёшь, она идёт	تَذْهَبُ
bayna/1a/04/d	(я) иду	أَذْهَبُ
bayna/1a/04/e	в семь часов [часом седьмым]	اَلسَّاعَةَ السَّابِعَةَ
bayna/1a/04/f	на автомобиле	بِالسَّيَّارَةِ
bayna/1a/04/g	на автобусе	بِالْحَافِلَةِ
bayna/1a/04/h	выходной день	يَوْمُ الْعُطْلَةِ
bayna/1a/04/i	рабочий день	يَوْمُ الْعَمَلِ
bayna/1a/04/j	ты сделаешь, она сделает	سَتَفْعَلُ
bayna/1a/04/k	(ты) делаешь, (она) делает	تَفْعَلُ
bayna/1a/04/l	подметаю комнату	أَكْنُسُ الْغُرْفَةَ
bayna/1a/04/m	гостиная [комната посиделок, заседаний]	غُرْفَةُ الْجُلُوسِ
bayna/1a/04/n	делаешь (ж.р.)	تَفْعَلِينَ
bayna/1a/04/o	стираю одежду	أَغْسِلُ الْمَلَابِسَ
bayna/1a/04/p	одежда	مَلَابِسٌ
bayna/1a/04/q	глажу одежду	أَكْوِي الْمَلَابِسَ
bayna/1a/04/r	мою тарелки	أَغْسِلُ الْأَطْبَاقَ
bayna/1a/04/s	тарелки	أَطْبَاقٌ
bayna/1a/04/t	читаю Коран	أَقَرَأُ الْقُرْآنَ
bayna/1a/04/u	рано	مُبَكِّرًا
bayna/1a/04/v	поздно	مُتَأَخِّرًا
bayna/1a/04/w	смотрю телевизор	أُشَاهِدُ التِّلْفَازَ
bayna/1a/04/x	газета	صَحِيفَةٌ
bayna/1a/04/y	или	أَوْ
bayna/1a/05/1	пятая.	اَلْخَامِسَةُ
bayna/1a/05/2	еда и напитки.	اَلطَّعَامُ وَالشَّرَابُ
bayna/1a/05/3	еда	طَعَامٌ
bayna/1a/05/4	питье, напиток	شَرَابٌ
bayna/1a/05/5	приём пищи, разовая еда (завтрак, обед и т.п.)	وَجْبَةٌ
bayna/1a/05/6	ты ешь, она ест	تَأْكُلُ
bayna/1a/05/7	(я) ем	آكُلُ
bayna/1a/05/8	три (кол-во)	ثَلَاثَ
bayna/1a/05/9	завтрак	فَطُورٌ
bayna/1a/05/a	обед	غَدَاءٌ
bayna/1a/05/b	ужин	عَشَاءٌ
bayna/1a/05/c	много	كَثِيرٌ
bayna/1a/05/d	мало, немножко, чуточку	قَلِيلٌ
bayna/1a/05/e	мясо	لَحْمٌ
bayna/1a/05/f	курица (собир.)	دَجَاجٌ
bayna/1a/05/g	салат	سَلَطَةٌ
bayna/1a/05/h	хлеб	خُبْزٌ
bayna/1a/05/i	рыба	سَمَكٌ
bayna/1a/05/k	фрукты	فَاكِهَةٌ
bayna/1a/05/l	толстый	سَمِينٌ
bayna/1a/05/m	худой	نَحِيفٌ
bayna/1a/05/n	стюардесса, провожатая, проводница	مُضَيِّفَةٌ
bayna/1a/05/o	путешественница, пассажирка	مُسَافِرَةٌ
bayna/1a/05/p	(ты) желаешь / требуешь, (она) желает / требует	تَطْلُبُ
bayna/1a/05/q	несколько, некоторое	بَعْضَ
bayna/1a/05/r	пожалуйста [от предпочтения тебе]	مِنْ فَضْلِكَ
bayna/1a/05/s	финики	تَمْرٌ
bayna/1a/05/t	виноград	عِنَبٌ
bayna/1a/05/u	вода	مَاءٌ
bayna/1a/05/v	чай	شَايٌ
bayna/1a/05/w	кофе с молоком.	اَلْقَهْوَةُ بِالْحَلِيبِ
bayna/1a/05/x	молоко (натуральное)	حَلِيبٌ
bayna/1a/05/y	голодный	جَوْعَانٌ
bayna/1a/05/z	обеденный стол	مَائِدَةٌ
bayna/1a/05/a1	что это?	مَا هَذَا؟
bayna/1a/05/a2	не ешь!	لَا تَأْْكُلْ
bayna/1a/05/a3	почему?	لِمَاذَا؟
bayna/1a/05/a4	гости	ضُيُوفٌ
bayna/1a/05/a5	100 кг	مِئَةُ كَيْلٍ
bayna/1a/05/a6	вес	وَزْنٌ
bayna/1a/05/a7	какой вес твой?	مَا وَزْنُكَ
bayna/1a/05/a8	сколько	كَمْ
bayna/1a/05/a9	килограммы	كَيْلٌ
bayna/1a/05/b1	меню (список)	قَائِمَةٌ
bayna/1a/05/b2	спасибо	شُكْرًا
bayna/1a/05/b3	извините (пожалуйста)	عَفْوًا
bayna/1a/05/b4	ты (м.р.) пьёшь; она пьёт	تَشْرَبُ
bayna/1a/06/1	молитва	صَلَاةٌ
bayna/1a/06/2	молитвы (намазы)	صَلَوَاتٌ
bayna/1a/06/3	азан, призыв	أَذَانٌ
bayna/1a/06/4	я не слышу	لَا أَسْمَعُ
bayna/1a/06/5	не могу	لَا أَسْتَطِيعُ
bayna/1a/06/6	ночь	لَيْلٌ
bayna/1a/06/7	будильник [пробуждающий]	مُنَبِّهٌ
bayna/1a/06/8	бок, сторона	جَانِبٌ
bayna/1a/06/9	положи будильник с боку твоего (м.р.)	ضَعِ الْمُنَبِّهَ بِجَانِبِكَ
bayna/1a/06/0	идея, мысль	فِكْرَةٌ
bayna/1a/06/a	хороший	طَيِّبٌ
bayna/1a/06/b	да воздаст тебе (м.р.) Аллах благом	جَزَاكَ اللهُ خَيْرًا
bayna/1a/06/c	путешественник	مُسَافِرٌ
bayna/1a/06/d	если Аллах пожелает	إِنْ شَاءَ اللهُ
bayna/1a/06/e	айда с нами	هَيَّا بِنَا
bayna/1a/06/f	далёкий	بَعِيدٌ
bayna/1a/06/g	близкий, скорый	قَرِيبٌ
bayna/1a/06/h	больной	مَرِيضٌ
bayna/1a/06/i	ленивый	كَسْلَانٌ
bayna/1a/06/j	правда, достоверный	صَحِيحٌ
bayna/1a/06/k	сожаление	آسِفٌ
bayna/1a/06/l	ты молишься, она молится	تُصَلِّي
bayna/1a/06/m	пятый.	اَلْخَامِسُ
bayna/1a/06/n	(я) молюсь	أُصَلِّي
bayna/1a/06/o	почему?	لِمَاذَا؟
bayna/1a/06/p	(я) слушаю	أَسْمَعُ
bayna/1a/06/q	(ты) просыпаешься, (она) просыпается	تَسْتَيْقِظُ
bayna/1a/06/r	поздно	مُتَأَخِّرًا
bayna/1a/06/s	после	بَعْدَ
bayna/1a/06/t	просыпайся!	اِسْتَيْقِظْ
bayna/1a/06/u	рано	مُبَكِّرًا
bayna/1a/06/v	(я) могу	أَسْتَطِيعُ
bayna/1a/06/w	(я) работаю	أَعْمَلُ
bayna/1a/06/x	подожди!	اِنْتَظِرْ
bayna/1a/07/1	учёба	دِرَاسَةٌ
bayna/1a/07/2	смотри!	اُنْظُرْ
bayna/1a/07/3	доска	لَوْحَةٌ
bayna/1a/07/4	читай!	اِقَرَأْ
bayna/1a/07/5	учебное расписание.	اَلْجَدْوَلُ الدِّرَاسِيُّ
bayna/1a/07/6	дни	أَيَّامٌ
bayna/1a/07/7	неделя	أُسْبُوعٌ
bayna/1a/07/8	пиши!	اُكْتُبْ
bayna/1a/07/9	учебные предметы.	اَلْمَوَادُّ الدِّرَاسِيَّةُ
bayna/1a/07/0	исламская культура.	اَلثَّقَافَةُ الْإسْلَامِيَّةُ
bayna/1a/07/a	арабский язык.	اَللُّغَةُ الْعَرَبِيَّةُ
bayna/1a/07/b	математика	رِيَاضِيَّاتٌ
bayna/1a/07/c	науки	عُلُومٌ
bayna/1a/07/d	компьютер	حَاسُوبٌ
bayna/1a/07/e	(ты) начинаешься (м.р.) / (она) начинается	تَبْدَأُ
bayna/1a/07/f	экзамены (проверки)	اِخْتِبَارَاتٌ
bayna/1a/07/g	месяц	شَهْرٌ
bayna/1a/07/h	(он) заканчивает	يَنْتَهِي
bayna/1a/07/i	учебный год.	اَلْعَامُ الدِّرَاسِيُّ
bayna/1a/07/j	каникулы, выходной	عُطْلَةٌ
bayna/1a/07/k	месяцы	أَشْهُرٌ
bayna/1a/07/l	длинный	طَوِيلٌ
bayna/1a/07/m	началась (она)	بَدَأَتْ
bayna/1a/07/n	"урок (учебный час); доля / +мн. (время)"	حِصَّةٌ / حِصَصٌ
bayna/1a/07/o	класс (комната, место); курс / +мн. 	صَفٌّ / صُفُوفٌ
bayna/1a/07/p	университет, институт	جَامِعَةٌ
bayna/1a/07/q	факультет	كُلِّيَّةٌ
bayna/1a/07/r	(ты) учишься (ж.р.)	تَدْرُسِينَ
bayna/1a/07/s	(я) учусь	أَدْرُسُ
bayna/1a/07/t	педагогический факультет [воспитания]	كُلِّيَّةُ التَّرْبِيَةِ
bayna/1a/07/u	медицинский факультет	كُلِّيَّةُ الطِّبِّ
bayna/1a/07/v	буду (стану)	سَأَكُونُ
bayna/1a/07/w	преподаватель	مُدَرِّسٌ
bayna/1a/07/x	врач	طَبِيبٌ
bayna/1a/07/y	школа	مَدْرَسَةٌ
bayna/1a/07/z	время	وَقْتٌ
bayna/1a/07/10	ранний	مُبَكِّرٌ
bayna/1a/07/11	сейчас	اَلْآنَ
bayna/1a/07/12	культура	ثَقَافَةٌ
bayna/1a/07/13	раннее время.	اَلْوَقْتُ مُبَكِّرٌ
bayna/1a/07/14	шесть утра	اَلسَّاعَةُ السَّادِسَةُ صَبَاحًا
bayna/1a/07/15	далека от ...	بَعِيدَةٌ عَنْ ...
bayna/1a/07/16	сколько	كَمْ
bayna/1a/07/17	перемена	إِسْتِرَاحَةٌ
bayna/1a/07/18	библиотека [место писаний]	مَكْتَبَةٌ
bayna/1a/07/19	лаборатория	مُخْتَبَرٌ
bayna/1a/07/20	фирма	شَرِكَةٌ
bayna/1a/07/21	больница	مُسْتَشْفَى
bayna/1a/07/22	инженерный факультет	كُلِّيَّةُ الْهَنْدَسَةِ
bayna/1a/08/1	работа	عَمَلٌ
bayna/1a/08/2	(я) работаю	أَعْمَلُ
bayna/1a/08/3	больница	مُسْتَشْفَى
bayna/1a/08/4	сколько часов в день?	كَمْ سَاعَةً فِي الْيَوْمِ؟
bayna/1a/08/5	(я) люблю	أُحِبُّ
bayna/1a/08/6	тоже	أَيضًا
bayna/1a/08/7	медицина	طِبٌّ
bayna/1a/08/8	фармацевтика	صَيْدَلَةٌ
bayna/1a/08/9	фармацевтический факультет	كُلِّيَّةُ الصَّيْدَلَةِ
bayna/1a/08/0	фармацевт [фармацевтический]	صَيْدَلِيٌّ
bayna/1a/08/a	фельдшерство; сестринское дело	تَمْرِيضٌ
bayna/1a/08/b	фельдшер / медбрат / санитар	مُمَرِّضٌ
bayna/1a/08/c	инженерное дело	هَنْدَسَةٌ
bayna/1a/08/d	инженерный факультет	كُلِّيَّةُ الْهَنْدَسَةِ
bayna/1a/08/e	лётное дело (авиация)	طَيَرَانٌ
bayna/1a/08/f	лётчик, авиатор	طَيَّارٌ
bayna/1a/08/g	педагогика, воспитание	تَرْبِيَةٌ
bayna/1a/08/h	профессия твоя (ж.р.)	مِهْنَتُكِ
bayna/1a/08/i	(ты) преподаешь (ж.р.)	تُدَرِّسِينَ
bayna/1a/08/j	стадия (этап) начинающая (начальные классы).	اَلْمَرْحَلَةُ الْاِبْتِدَائِيَّةُ
bayna/1a/08/k	средний (центральный) этап (средние классы).	اَلْمَرْحَلَةُ الْمُتَوَسِّطَةُ
bayna/1a/08/l	дети	أَطْفَالٌ
bayna/1a/08/m	у тебя (ж.р.) есть дети?	هَلْ لَكِ أَطْفَالٌ؟
bayna/1a/08/n	у меня есть дети	لِي أَطْفَالٌ
bayna/1a/08/o	сколько детей у тебя? (ж.р.)	كَمْ طِفْلًا لَكِ؟
bayna/1a/08/p	ребёнок	طِفْلٌ
bayna/1a/08/q	(он) преподаёт	يُدَرِّسُ
bayna/1a/08/r	кем (где) ты работаешь? (м.р.) [что ты работаешь?]	مَاذَا تَعْمَلُ؟
bayna/1b/09/1	покупки	تَسَوُّقٌ
bayna/1b/09/2	словарь	مُعْجَمٌ
bayna/1b/09/3	тетрадь	دَفْتَرٌ
bayna/1b/09/4	динар	دِينَارٌ
bayna/1b/09/5	книга (для) чтения	كِتَابُ الْقِرَاءَةِ
bayna/1b/09/6	книга грамматики	كِتَابُ الْقَوَاعِدِ
bayna/1b/09/7	рубашка	قَمِيصٌ
bayna/1b/09/8	рубашки	قُمْصَانٌ
bayna/1b/09/9	платье	ثَوْبٌ
bayna/1b/09/0	платья	أَثْوَابٌ
bayna/1b/09/a	сахар	سُكَّرٌ
bayna/1b/09/b	помидоры	طَمَاطِمٌ
bayna/1b/09/c	лук	بَصَلٌ
bayna/1b/09/d	огурцы	خِيَارٌ
bayna/1b/09/e	упаковка соли	عُلْبَةُ الْمِلْحِ
bayna/1b/09/f	лоток яиц.	طَبَقُ البَيْضِ
bayna/1b/09/g	пожалуйста вот (возьми)	تَفَضَّلْ خُذ
bayna/1b/09/h	кофе в зёрнах	بُنٌّ
bayna/1b/09/i	пальто	مِعْطَفٌ
bayna/1b/09/j	в (внутри)	فِي
bayna/1b/09/k	над (сверху / поверх)	فَوْقَ
bayna/1b/09/l	под / снизу	تَحْتَ
bayna/1b/09/m	спереди / напротив	أَمَامَ
bayna/1b/09/n	за (позади)	خَلْفَ
bayna/1b/09/o	справа	يَمِينَ
bayna/1b/09/p	слева	شِمَالَ
bayna/1b/09/q	белый	أَبْيَضٌ
bayna/1b/09/r	синий	أَزْرَقٌ
bayna/1b/09/s	зелёный	أَخْضَرٌ
bayna/1b/09/t	красный	أَحْمَرٌ
bayna/1b/09/u	короткий	قَصِيرٌ
bayna/1b/09/v	чёрный	أَسْوَدٌ
bayna/1b/10/1	погода	جَوٌّ
bayna/1b/10/2	сезон	فَصْلٌ
bayna/1b/10/3	сезон зимы	فَصْلُ الشِّتَاءِ
bayna/1b/10/4	сезон весны	فَصْلُ الرَّبِيعِ
bayna/1b/10/5	сезон лета	فَصْلُ الصَّيْفِ
bayna/1b/10/6	сезон осени	فَصْلُ الْخَرِيفِ
bayna/1b/10/7	снаружи	خَارِجٌ
bayna/1b/10/8	небо	سَمَاءٌ
bayna/1b/10/9	дождливится (идёт дождь)	تُمْطِرُ
bayna/1b/10/0	мокрый	مُبْتَلٌّ
bayna/1b/10/a	оставил (он)	تَرَكَ
bayna/1b/10/b	оставил (я) (его)	تَرَكْتُهُ
bayna/1b/10/c	зонт	مِظَلَّةٌ
bayna/1b/10/d	тёплый	دَافِئٌ
bayna/1b/10/e	благословение Аллаха тебе (ж.р.)	بَارَكَ اللهُ فِيكِ
bayna/1b/10/f	холодный	بَارِدٌ
bayna/1b/10/g	Какая температура? [сколько делений тепла?]	كَمْ دَرَجَةُ الْحَرَارَةِ؟
bayna/1b/10/h	ниже нуля	تَحْتَ الصِّفْرِ
bayna/1b/10/i	горячий	حَارٌّ
bayna/1b/10/j	умеренный	مُعْتَدِلٌ
bayna/1b/10/k	проведёшь отпуск (выходные)	سَتَقْضِي الْعُطْلَةَ
bayna/1b/10/l	(я) проведу отпуск в Тунисе	سَأَقْضِي الْعُطْلَةَ فِي تُونِسَ
bayna/1b/10/m	берег	شَاطِئٌ
bayna/1b/10/n	суша	بَرٌّ
bayna/1b/10/o	(я) предоставлю	سَأُحْضِرُ
bayna/1b/10/p	она предоставит; ты предоставишь	سَتَحْضُرُ
bayna/1b/10/q	палатка	خَيْمَةٌ
bayna/1b/10/r	(он) разговаривает	يَتَكَلَّمُ
bayna/1b/10/w	жёлтый	أَصْفَرٌ
bayna/1b/11/1	места	أَمَاكِنُ
bayna/1b/11/2	люди	نَاسٌ
bayna/1b/11/4	переехала компания в ...	اِنْـتَـقَـلَتِ الشَّرِكَةُ إِلَى ...
bayna/1b/11/5	там	هُنَاكَ
bayna/1b/11/6	тут; здесь	هُنَا
bayna/1b/11/7	(ты) был / (я) был	كُنْتَ / كُنْتُ
bayna/1b/11/8	правда	صَحِيحٌ
bayna/1b/11/9	страна	بَلَدٌ
bayna/1b/11/0	каково мнение твоё (м.р.) о Джидде?	مَا رَأْيُكَ فِي جُدَّةَ؟
bayna/1b/11/a	время	وَقْتٌ
bayna/1b/11/b	(ты / она) проводишь время	تَقْضِي الْوَقْتَ
bayna/1b/11/c	морское побережье [берег моря]	شاطِئُ الْبَحْرِ
bayna/1b/11/d	поездка	رِحْلَةٌ
bayna/1b/11/e	сколько занимает поездка	كَمْ تَسْتَغْرِقُ الرِّحْلَةَ
bayna/1b/11/f	примерно; приблизительно	تَـقْرِيـبًا
bayna/1b/11/g	предоставил (ты)	حَضَرْتَ
bayna/1b/11/h	до, перед (по времени)	قَـبْلَ
bayna/1b/11/i	годы (-)	سَنَوَاتٌ
bayna/1b/11/j	с тобой (м.р.)?	هَلْ مَعَكَ؟
bayna/1b/11/k	гражданство; национальность	جِنْسِيَّةٌ
bayna/1b/11/l	паспорта [путешествования]	جَوَازَاتُ السَّفَرِ
bayna/1b/11/m	женился (я)	تَزَوَّجْتُ
bayna/1b/11/n	(он) посещает, посетит	يَزُورُ
bayna/1b/11/o	деревня, пригород	قَرْيَةٌ
bayna/1b/11/p	тихая	هَادِئَةٌ
bayna/1b/11/q	воздух	هَوَاءٌ
bayna/1b/11/r	чистый	نَقِيٌّ
bayna/1b/11/s	рынки	أَسْوَاقٌ
bayna/1b/11/t	шум	ضَوْضَاءُ
bayna/1b/11/u	загрязнение (атмосферы)	تَـلَـوُّثٌ
bayna/1b/11/v	теснота; давка; пробки	إِزْدِحَامٌ
bayna/1b/11/w	поезд	قِطَارٌ
bayna/1b/11/x	друзья	أَصْدِقَاءٌ
bayna/1b/11/y	полчаса	نِصْفُ السَّاعَةِ
bayna/1b/11/z	проблема	مُـشْـكِـلَةٌ
bayna/1b/11/11	(она) занимает; (ты) занимаешь (по времени)	تَسْتَغْرِقُ
bayna/1b/11/12	фирмы	شَرِكَاتٌ
bayna/1b/12/1	увлечения	هِـوَايَاتٌ
bayna/1b/12/2	переписка	مُرَاسَلَةٌ
bayna/1b/12/3	путешествие	سَفَرٌ
bayna/1b/12/4	поездка	رِحْلَةٌ
bayna/1b/12/5	спорт	رِيَاضَةٌ
bayna/1b/12/6	у меня есть библиотека	لَدَيَّ مَكْتَبَةٌ
bayna/1b/12/8	выставка [место выставления, экспонирования]	مَعْرِضٌ
bayna/1b/12/9	айда с нами к нему	هَيَّا بِنَا إِلَيْهِ
bayna/1b/12/0	павильон; крыло	جَنَاحٌ
bayna/1b/12/a	почтовая марка	طَابَعٌ
bayna/1b/12/b	хозяйство (вЕдение) домашнее.	اَلتَّدْبِيرُ الْمَنْزِلِيُّ
bayna/1b/12/c	плавание	سِبَاحَةٌ
bayna/1b/12/d	наездничество	فُرُوسِيَّةٌ
bayna/1b/12/e	газеты, свитки	صُحُفٌ
bayna/1b/12/f	журнал / журналы	مَجَلَّةٌ / مَجَلَّاتٌ
bayna/1b/12/g	низкорослый, короткий	قَصِيرٌ
bayna/1b/12/h	мало, маленький, малый	قَلِيلٌ
bayna/1b/12/i	дорогой	غَالٌ
bayna/1b/12/j	дешёвый	رَخِيصٌ
bayna/1b/12/k	хобби, увлечение	هِوَايَةٌ
bayna/1b/12/l	группа [множество, объединение] журналистики	جَمْعِيَّةُ الصَّحَافَةِ
bayna/1b/12/m	собирание марок	جَمْعُ الطَّوَابِعِ
bayna/1b/12/n	(ты) (ж.р.) выбираешь	تَخْتَارِينَ
bayna/1b/12/o	увлечения	هِـوَايَاتٌ
bayna/1b/13/1	бронь	حَجْزٌ
bayna/1b/13/2	уточнение (подтверждение)	تَأْكِيدٌ
bayna/1b/13/3	хочу подтверждение брони	أُرِيدُ تَأْكِيدَ الْحَجْزِ
bayna/1b/13/4	саудовские авиалинии.	اَلْخُطُوطُ السُّعُودِيَّةُ
bayna/1b/13/5	индонезийские авиалинии	اَلْخُطُوطُ الْإِنْدُونِيسِيَّةُ
bayna/1b/13/6	билеты	تَذَاكِرٌ
bayna/1b/13/7	билет	تَذْكِرَةٌ
bayna/1b/13/9	виза выездная	تَأْشِيرَةُ الْخُرُوجِ
bayna/1b/13/0	виза въездная	تَأْشِيرَةُ الدُّخُولِ
